OF_TURN,HYDRANT,MAPPAGE,SEQ__,ZIPCODE,OF_TURNS,STATION,DIRECTION,COMPLETED,FLOW,NUM,LOCATION,STATIC_PRE,CLASS,CONDITION,VALVE_MAKE,DATE_INSPE,HYDRANT_ID,LONGITUDE,VALVE_SIZE,TYPE0,DATE_INSTA,SIZE,CITY,NAME,DISTRICT,VALVE_TYPE,MAKE,ATLAS_PAGE,ADDRESS,LATITUDE,TYPE,RESIDUAL_P
,,1778,0,74014,0,27,,0,0,0,,0,,,,,0-0,-95.76084,0,,,0,,,5,,,0,,36.093429,,0
,,,0,,0,0,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,0,,,0,,0.0,,0
,,,0014,74015,0,31,,0,0,0,,0,,,,,00731-0014,-95.735457,0,,,0,,,2,,,00731,,36.236521,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.063716,0,,,0,,,3,,,0,,36.040144,,0
,,1431,0102,74133,0,28,,0,0,0,,0,,,,,00658-0102,-95.883092,0,,,0,TULSA,,5,,,00658,,36.056921,,0
,,1778,0,74014,0,27,,0,0,0,,0,,,,,0-0,-95.7601,0,,,0,,,5,,,0,,36.094066,,0
,,1778,0,74014,0,27,,0,0,0,,0,,,,,0-0,-95.757265,0,,,0,,,5,,,0,,36.093847,,0
,,1728,0017,74012,0,27,,0,0,0,,0,,,,,00549-0017,-95.764248,0,,,0,TULSA,,5,,,00549,,36.090079,,0
,,1778,0,74014,0,27,,0,0,0,,0,,,,,0-0,-95.757882,0,,,0,,,5,,,0,,36.095919,,0
,,1778,0,74014,0,27,,0,0,0,,0,,,,,0-0,-95.758892,0,,,0,,,5,,,0,,36.09564,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.064454,0,,,0,,,3,,,0,,36.042353,,0
,,1728,0012,74012,0,27,E,0,0,18909,,0,,,,,00549-0012,-95.765457,0,,,0,TULSA,51,5,,,00549,18909 E 51th ST S,36.090478,ST,0
,,1728,0013,74134,0,27,E,0,0,18909,,0,,,,,00549-0013,-95.764594,0,,,0,TULSA,51,5,,,00549,18909 E 51th ST S,36.091236,ST,0
,,,0,74015,0,31,,0,0,0,,0,,,,,0-0,-95.729173,0,,,0,,,2,,,0,,36.236179,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.063494,0,,,0,,,3,,,0,,36.044184,,0
,,1728,0014,74012,0,27,,0,0,0,,0,,,,,00549-0014,-95.766197,0,,,0,TULSA,,5,,,00549,,36.091216,,0
,,1728,0015,74012,0,27,,0,0,0,,0,,,,,00549-0015,-95.767159,0,,,0,TULSA,,5,,,00549,,36.091196,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.052761,0,,,0,,,3,,,0,,36.058195,,0
,,1728,0007,74012,0,27,,0,0,0,,0,,,,,00549-0007,-95.768121,0,,,0,TULSA,,5,,,00549,,36.090079,,0
,,1728,0008,74012,0,27,,0,0,0,,0,,,,,00549-0008,-95.770095,0,,,0,TULSA,,5,,,00549,,36.090079,,0
L,,1431,0080,74133,26,28,E,1,0,8200,,0,NA,,,,00765-0080,-95.884874,80,,,0,TULSA,77,5,GATE,,00765,8200 E 77th ST S,36.052639,ST,0
L,,1431,0078,74133,27,28,E,1,0,8200,,0,NA,,,,00765-0078,-95.883736,80,,,0,TULSA,77,5,GATE,,00765,8200 E 77th ST S,36.052209,ST,0
L,,1431,0081,74133,27,28,E,1,0,8200,,0,NA,,,,00765-0081,-95.883761,80,,,0,TULSA,77,5,GATE,,00765,8200 E 77th ST S,36.052864,ST,0
,,,0,,0,0,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,0,,,0,,0.0,,0
,,,0,,0,29,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,3,,,0,,0.0,,0
,,,0,,0,0,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,0,,,0,,0.0,,0
,,,0,74015,0,31,,0,0,0,,0,,,,,0-0,-95.730079,0,,,0,,,2,,,0,,36.237111,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.049044,0,,,0,,,3,,,0,,36.059289,,0
,,1728,0010,74012,0,27,,0,0,0,,0,,,,,00549-0010,-95.768787,0,,,0,TULSA,,5,,,00549,,36.090398,,0
,,1728,0016,74012,0,27,,0,0,0,,0,,,,,00549-0016,-95.76896,0,,,0,TULSA,,5,,,00549,,36.091176,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.049143,0,,,0,,,3,,,0,,36.056562,,0
,,1728,0009,74012,0,27,,0,0,0,,0,,,,,00549-0009,-95.770292,0,,,0,TULSA,,5,,,00549,,36.090877,,0
,,1728,0004,74134,0,27,,0,0,0,,0,,,,,00549-0004,-95.761954,0,,,0,TULSA,,5,,,00549,,36.092412,,0
,,,0,74015,0,31,,0,0,0,,0,,,,,0-0,-95.730676,0,,,0,,,2,,,0,,36.237873,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.05062,0,,,0,,,3,,,0,,36.059249,,0
,,1728,0003,74134,0,27,,0,0,0,,0,,,,,00549-0003,-95.761929,0,,,0,TULSA,,5,,,00549,,36.095043,,0
,,1728,0001,74134,0,27,S,0,0,4622,,0,,,,,00549-0001,-95.761929,0,,,0,TULSA,,5,,,00549,4622 S 193th AV E,36.097016,AV,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.051531,0,,,0,,,3,,,0,,36.057099,,0
,,1728,0004,74134,0,27,S,0,0,4402,,0,,,,,00548-0004,-95.761904,0,,,0,TULSA,,5,,,00548,4402 S 193th AV E,36.100365,AV,0
,,1728,0006,74134,0,27,,0,0,0,,0,,,,,00548-0006,-95.76188,0,,,0,TULSA,,5,,,00548,,36.10194,,0
,,1384,0,74133,0,32,,1,0,0,,0,NA,,,,0-0,-95.897461,0,,,0,TULSA,,5,,,0,,36.01465,,0
,,,0,,0,0,,0,0,0,,0,,,,,0-0,0.0,0,,,0,,,0,,,0,,0.0,,0
,,,0023,74015,0,31,,0,0,0,,0,,,,,00731-0023,-95.732025,0,,,0,,,2,,,00731,,36.238029,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.050768,0,,,0,,,3,,,0,,36.055726,,0
,,1678,0014,74012,0,27,,0,0,0,,0,,,,,00460-0014,-95.783966,0,,,0,TULSA,,5,,,00460,,36.094593,,0
,,1678,0015,74012,0,27,,0,0,0,,0,,,,,00460-0015,-95.784311,0,,,0,TULSA,,5,,,00460,,36.095649,,0
,,,0,74131,0,6,,0,0,0,,0,,,,,0-0,-96.051605,0,,,0,,,3,,,0,,36.054652,,0
,,1678,0016,74134,0,27,S,0,0,4606,,0,,,,,00460-0016,-95.783966,0,,,0,TULSA,LYNNLANE,5,,,00460,4606 S LYNN  LN  RD,36.096366,RD,0
